Date,Price,Open,High,Low,Vol.,Change %
4-Dec-12,"5,889.25","5,866.80","5,894.95","5,859.00",131.02M,0.31%
5-Dec-12,"5,900.50","5,906.60","5,917.80","5,891.35",139.65M,0.19%
6-Dec-12,"5,930.90","5,926.30","5,942.55","5,838.90",140.27M,0.52%
7-Dec-12,"5,907.40","5,934.00","5,949.85","5,888.65",127.61M,-0.40%
10-Dec-12,"5,908.90","5,916.05","5,919.95","5,888.10",95.98M,0.03%
11-Dec-12,"5,898.80","5,923.80","5,965.15","5,865.45",137.42M,-0.17%
12-Dec-12,"5,888.00","5,917.80","5,924.60","5,874.25",132.67M,-0.18%
13-Dec-12,"5,851.50","5,900.35","5,907.45","5,841.35",136.62M,-0.62%
14-Dec-12,"5,879.60","5,846.90","5,886.10","5,839.15",115.16M,0.48%
17-Dec-12,"5,857.90","5,860.50","5,886.05","5,850.15",109.55M,-0.37%
18-Dec-12,"5,896.80","5,873.60","5,905.80","5,823.15",148.91M,0.66%
19-Dec-12,"5,929.60","5,917.30","5,939.40","5,910.80",149.44M,0.56%
20-Dec-12,"5,916.40","5,934.45","5,937.60","5,881.45",123.91M,-0.22%
21-Dec-12,"5,847.70","5,888.00","5,888.00","5,841.65",141.15M,-1.16%
24-Dec-12,"5,855.75","5,869.00","5,871.90","5,844.70",85.34M,0.14%
26-Dec-12,"5,905.60","5,864.95","5,917.30","5,859.55",83.87M,0.85%
27-Dec-12,"5,870.10","5,930.20","5,930.80","5,864.70",139.61M,-0.60%
28-Dec-12,"5,908.35","5,887.15","5,915.75","5,879.50",89.67M,0.65%
31-Dec-12,"5,905.10","5,901.20","5,919.00","5,897.15",64.81M,-0.06%
1-Jan-13,"5,950.85","5,937.65","5,963.90","5,935.20",77.90M,0.77%
2-Jan-13,"5,993.25","5,982.60","6,006.05","5,982.00",116.06M,0.71%
3-Jan-13,"6,009.50","6,015.80","6,017.00","5,986.55",99.99M,0.27%
4-Jan-13,"6,016.15","6,011.95","6,020.75","5,981.55",113.23M,0.11%
7-Jan-13,"5,988.40","6,042.15","6,042.15","5,977.15",110.25M,-0.46%
8-Jan-13,"6,001.70","5,983.45","6,007.05","5,964.40",109.94M,0.22%
9-Jan-13,"5,971.50","6,006.20","6,020.10","5,958.45",129.64M,-0.50%
10-Jan-13,"5,968.65","5,998.80","6,005.15","5,947.30",129.77M,-0.05%
11-Jan-13,"5,951.30","6,012.40","6,018.85","5,940.60",128.02M,-0.29%
14-Jan-13,"6,024.05","5,967.20","6,036.90","5,962.15",134.71M,1.22%
15-Jan-13,"6,056.60","6,037.85","6,068.50","6,018.60",138.36M,0.54%
16-Jan-13,"6,001.85","6,049.00","6,055.95","5,992.05",128.99M,-0.90%
17-Jan-13,"6,039.20","6,001.25","6,053.20","5,988.10",178.96M,0.62%
18-Jan-13,"6,064.40","6,059.85","6,083.40","6,048.30",186.46M,0.42%
21-Jan-13,"6,082.30","6,085.75","6,094.35","6,065.10",130.87M,0.30%
22-Jan-13,"6,048.50","6,080.15","6,101.30","6,040.50",129.04M,-0.56%
23-Jan-13,"6,054.30","6,052.85","6,069.80","6,021.15",136.99M,0.10%
24-Jan-13,"6,019.35","6,046.20","6,065.30","6,007.85",185.21M,-0.58%
25-Jan-13,"6,074.65","6,024.50","6,080.55","6,014.45",147.59M,0.92%
28-Jan-13,"6,074.80","6,082.10","6,088.40","6,061.40",113.11M,0.00%
29-Jan-13,"6,049.90","6,064.70","6,111.80","6,042.45",157.55M,-0.41%
30-Jan-13,"6,055.75","6,065.00","6,071.95","6,044.15",124.22M,0.10%
31-Jan-13,"6,034.75","6,045.65","6,058.05","6,025.15",168.52M,-0.35%
1-Feb-13,"5,998.90","6,040.95","6,052.95","5,983.20",159.27M,-0.59%
4-Feb-13,"5,987.25","6,025.20","6,038.50","5,981.25",141.74M,-0.19%
5-Feb-13,"5,956.90","5,948.20","5,970.35","5,946.90",136.23M,-0.51%
6-Feb-13,"5,959.20","5,988.05","5,990.90","5,953.15",157.82M,0.04%
7-Feb-13,"5,938.80","5,936.45","5,978.50","5,927.60",157.65M,-0.34%
8-Feb-13,"5,903.50","5,929.10","5,953.70","5,883.65",192.61M,-0.59%
11-Feb-13,"5,897.85","5,920.05","5,924.15","5,879.10",121.96M,-0.10%
12-Feb-13,"5,922.50","5,894.35","5,927.65","5,886.45",142.84M,0.42%
13-Feb-13,"5,932.95","5,943.15","5,969.50","5,922.95",142.64M,0.18%
14-Feb-13,"5,896.95","5,933.20","5,940.20","5,884.55",143.83M,-0.61%
15-Feb-13,"5,887.40","5,869.95","5,899.95","5,853.90",125.09M,-0.16%
18-Feb-13,"5,898.20","5,888.65","5,911.00","5,878.45",114.28M,0.18%
19-Feb-13,"5,939.70","5,900.20","5,947.55","5,883.15",100.99M,0.70%
20-Feb-13,"5,943.05","5,966.30","5,971.00","5,937.55",135.35M,0.06%
21-Feb-13,"5,852.25","5,909.65","5,921.15","5,844.40",159.40M,-1.53%
22-Feb-13,"5,850.30","5,837.95","5,873.80","5,835.80",157.05M,-0.03%
25-Feb-13,"5,854.75","5,870.55","5,878.40","5,825.00",125.13M,0.08%
26-Feb-13,"5,761.35","5,838.30","5,838.85","5,748.60",157.36M,-1.60%
27-Feb-13,"5,796.90","5,784.90","5,818.20","5,749.70",175.17M,0.62%
28-Feb-13,"5,693.05","5,834.35","5,849.90","5,671.90",334.85M,-1.79%
1-Mar-13,"5,719.70","5,702.45","5,739.45","5,679.90",174.52M,0.47%
4-Mar-13,"5,698.50","5,704.70","5,712.00","5,663.60",144.89M,-0.37%
5-Mar-13,"5,784.25","5,722.45","5,790.10","5,722.40",154.41M,1.50%
6-Mar-13,"5,818.60","5,816.40","5,828.70","5,795.05",156.90M,0.59%
7-Mar-13,"5,863.30","5,801.30","5,878.00","5,801.30",134.68M,0.77%
8-Mar-13,"5,945.70","5,883.65","5,952.85","5,883.00",150.78M,1.41%
11-Mar-13,"5,942.35","5,946.10","5,971.20","5,930.35",125.39M,-0.06%
12-Mar-13,"5,914.10","5,944.60","5,952.00","5,893.65",115.94M,-0.48%
13-Mar-13,"5,851.20","5,884.80","5,893.85","5,842.25",116.71M,-1.06%
14-Mar-13,"5,908.95","5,845.95","5,920.15","5,791.75",149.01M,0.99%
15-Mar-13,"5,872.60","5,914.90","5,945.65","5,861.00",152.16M,-0.62%
18-Mar-13,"5,835.25","5,816.75","5,850.20","5,814.35",102.66M,-0.64%
19-Mar-13,"5,745.95","5,859.50","5,863.60","5,724.30",182.31M,-1.53%
20-Mar-13,"5,694.40","5,740.55","5,745.30","5,682.30",187.62M,-0.90%
21-Mar-13,"5,658.75","5,705.90","5,757.75","5,647.95",179.18M,-0.63%
22-Mar-13,"5,651.35","5,659.80","5,691.45","5,631.80",165.29M,-0.13%
25-Mar-13,"5,633.85","5,707.30","5,718.40","5,624.40",150.39M,-0.31%
26-Mar-13,"5,641.60","5,613.75","5,655.30","5,612.05",126.50M,0.14%
28-Mar-13,"5,682.55","5,647.75","5,692.95","5,604.85",209.66M,0.73%
1-Apr-13,"5,704.40","5,697.35","5,720.95","5,675.90",97.78M,0.38%
2-Apr-13,"5,748.10","5,701.70","5,754.60","5,687.15",106.42M,0.77%
3-Apr-13,"5,672.90","5,740.20","5,744.95","5,650.10",140.71M,-1.31%
4-Apr-13,"5,574.75","5,640.65","5,644.45","5,565.65",134.59M,-1.73%
5-Apr-13,"5,553.25","5,568.10","5,577.30","5,534.70",137.46M,-0.39%
8-Apr-13,"5,542.95","5,550.50","5,569.20","5,537.05",97.02M,-0.19%
9-Apr-13,"5,495.10","5,568.75","5,603.05","5,487.00",138.18M,-0.86%
10-Apr-13,"5,558.70","5,536.25","5,569.25","5,477.20",128.56M,1.16%
11-Apr-13,"5,594.00","5,601.65","5,610.65","5,542.85",146.83M,0.64%
12-Apr-13,"5,528.55","5,520.70","5,544.50","5,494.90",127.32M,-1.17%
15-Apr-13,"5,568.40","5,508.50","5,592.85","5,500.30",142.92M,0.72%
16-Apr-13,"5,688.95","5,562.45","5,699.25","5,555.85",142.68M,2.16%
17-Apr-13,"5,688.70","5,708.65","5,732.15","5,669.00",154.58M,0.00%
18-Apr-13,"5,783.10","5,682.70","5,794.35","5,681.85",149.88M,1.66%
22-Apr-13,"5,834.40","5,789.85","5,844.85","5,789.80",135.10M,0.89%
23-Apr-13,"5,836.90","5,843.10","5,844.30","5,791.55",132.22M,0.04%
25-Apr-13,"5,916.30","5,856.10","5,924.60","5,853.30",199.60M,1.36%
26-Apr-13,"5,871.45","5,899.75","5,907.05","5,860.50",141.31M,-0.76%
29-Apr-13,"5,904.10","5,877.60","5,918.65","5,868.80",118.88M,0.56%
30-Apr-13,"5,930.20","5,932.60","5,962.30","5,867.80",153.19M,0.44%
2-May-13,"5,999.35","5,911.40","6,019.45","5,910.95",162.38M,1.17%
3-May-13,"5,944.00","5,993.50","6,000.30","5,930.15",145.75M,-0.92%
6-May-13,"5,971.05","5,944.90","5,976.50","5,928.45",110.17M,0.46%
7-May-13,"6,043.55","5,983.45","6,050.50","5,982.95",136.37M,1.21%
8-May-13,"6,069.30","6,064.15","6,083.55","6,024.95",122.28M,0.43%
9-May-13,"6,050.15","6,078.35","6,084.70","6,040.45",110.00M,-0.32%
10-May-13,"6,094.75","6,046.25","6,105.30","6,045.60",111.35M,0.74%
11-May-13,"6,107.25","6,088.20","6,114.55","6,084.15",7.99M,0.21%
13-May-13,"5,980.45","6,098.20","6,104.95","5,972.90",107.95M,-2.08%
14-May-13,"5,995.40","5,989.70","6,026.20","5,970.05",119.27M,0.25%
15-May-13,"6,146.75","6,018.85","6,157.10","6,018.85",153.89M,2.52%
16-May-13,"6,169.90","6,128.25","6,187.30","6,128.25",158.64M,0.38%
17-May-13,"6,187.30","6,172.95","6,199.95","6,146.15",147.28M,0.28%
20-May-13,"6,156.90","6,198.00","6,229.45","6,146.05",122.25M,-0.49%
21-May-13,"6,114.10","6,152.35","6,180.25","6,102.35",130.59M,-0.70%
22-May-13,"6,094.50","6,127.05","6,147.60","6,074.45",133.76M,-0.32%
23-May-13,"5,967.05","6,050.40","6,081.45","5,955.70",198.93M,-2.09%
24-May-13,"5,983.55","6,010.70","6,015.30","5,936.80",161.62M,0.28%
27-May-13,"6,083.15","5,989.40","6,099.90","5,975.55",115.12M,1.66%
28-May-13,"6,111.25","6,086.35","6,127.65","6,055.40",139.67M,0.46%
29-May-13,"6,104.30","6,120.45","6,125.05","6,069.80",120.21M,-0.11%
30-May-13,"6,124.05","6,072.15","6,133.75","6,072.15",194.09M,0.32%
31-May-13,"5,985.95","6,098.70","6,106.25","5,975.55",175.31M,-2.26%
3-Jun-13,"5,939.30","5,997.35","6,011.00","5,916.35",112.12M,-0.78%
4-Jun-13,"5,919.45","5,941.10","5,981.60","5,910.25",114.45M,-0.33%
5-Jun-13,"5,923.85","5,908.30","5,935.20","5,883.70",110.22M,0.07%
6-Jun-13,"5,921.40","5,895.00","5,956.55","5,869.50",114.18M,-0.04%
7-Jun-13,"5,881.00","5,900.05","5,972.70","5,871.30",118.35M,-0.68%
10-Jun-13,"5,878.00","5,907.90","5,931.65","5,857.40",100.13M,-0.05%
11-Jun-13,"5,788.80","5,848.75","5,868.05","5,780.35",180.90M,-1.52%
12-Jun-13,"5,760.20","5,771.75","5,792.90","5,738.60",140.39M,-0.49%
13-Jun-13,"5,699.10","5,709.35","5,729.85","5,683.10",142.04M,-1.06%
14-Jun-13,"5,808.40","5,748.95","5,819.40","5,739.40",124.41M,1.92%
17-Jun-13,"5,850.05","5,820.40","5,854.90","5,770.25",107.16M,0.72%
18-Jun-13,"5,813.60","5,841.90","5,863.40","5,804.30",117.54M,-0.62%
19-Jun-13,"5,822.25","5,805.75","5,828.40","5,777.90",115.54M,0.15%
20-Jun-13,"5,655.90","5,754.15","5,755.00","5,645.65",198.40M,-2.86%
21-Jun-13,"5,667.65","5,639.90","5,686.15","5,616.85",182.41M,0.21%
24-Jun-13,"5,590.25","5,638.05","5,640.00","5,566.25",193.49M,-1.37%
25-Jun-13,"5,609.10","5,606.95","5,666.25","5,570.25",196.57M,0.34%
26-Jun-13,"5,588.70","5,627.95","5,635.25","5,579.35",160.10M,-0.36%
27-Jun-13,"5,682.35","5,647.95","5,699.35","5,630.95",239.03M,1.68%
28-Jun-13,"5,842.20","5,749.50","5,852.95","5,749.50",214.40M,2.81%
1-Jul-13,"5,898.85","5,834.10","5,904.35","5,822.20",144.79M,0.97%
2-Jul-13,"5,857.55","5,885.50","5,898.80","5,852.30",145.72M,-0.70%
3-Jul-13,"5,770.90","5,811.95","5,815.00","5,760.40",160.52M,-1.48%
4-Jul-13,"5,836.95","5,794.75","5,848.20","5,786.05",151.93M,1.14%
